Teams??,Matches Played??,Attempted Clearances??,Clearances completion rate??,Completed Clearances??,Tackles??,Tackles won??,Tackles suffered??,Saves??
USA,4,69,0.77,53,82,48,73,27
Germany,7,104,0.85,88,110,91,125,24
Algeria,4,82,0.85,69,97,51,70,23
Switzerland,4,82,0.74,60,77,65,97,22
Colombia,5,56,0.84,47,85,55,72,22
Costa Rica,5,81,0.77,62,104,39,63,21
Nigeria,4,74,0.9,66,83,55,89,21
Argentina,7,98,0.87,85,118,75,107,19
Netherlands,7,93,0.88,81,92,72,96,18
Chile,4,74,0.83,61,83,60,89,18
Ecuador,3,37,0.92,34,44,22,34,18
Cameroon,3,41,0.88,36,38,33,45,15
Bosnia and Herzegovina,3,39,0.72,28,60,52,75,13
Belgium,5,59,0.95,56,61,43,55,13
Iran,3,67,0.84,56,72,18,31,12
Korea Republic,3,38,0.85,32,42,31,41,12
Italy,3,33,0.73,24,37,31,47,12
Ghana,3,28,0.86,24,31,25,30,12
Greece,4,54,0.78,42,84,66,98,11
Honduras,3,36,0.89,32,69,37,55,11
Australia,3,32,0.88,28,47,17,36,11
Brazil,7,93,0.79,73,141,95,134,10
France,5,50,0.82,41,65,43,67,10
Mexico,4,68,0.77,52,68,46,65,10
Uruguay,4,58,0.82,47,84,28,36,10
Russia,3,32,0.91,29,33,31,39,10
Côte d'Ivoire,3,51,0.85,43,60,42,60,8
Japan,3,23,0.83,19,44,24,38,8
Spain,3,29,0.87,25,31,26,38,7
Portugal,3,21,0.67,14,35,22,35,7
England,3,39,0.83,32,33,35,45,6
Croatia,3,35,1,35,59,21,35,5
