Teams??,Matches Played??,Total Passes??,Passes Completed??,Passes Completed??2,Crosses??,Crosses Completed??,Crosses Completed??2,Corners??,Throw-ins??
Germany,7,5084,4157,0.82,148,40,0.27,37,221
Argentina,7,4318,3344,0.77,174,33,0.19,47,260
Netherlands,7,3862,3000,0.78,121,28,0.23,31,228
Brazil,7,3615,2731,0.76,155,36,0.23,42,203
France,5,2759,2183,0.79,138,43,0.31,35,150
Belgium,5,2669,1992,0.75,125,26,0.21,39,196
Chile,4,2395,1850,0.77,74,17,0.23,16,158
Costa Rica,5,2240,1590,0.71,62,12,0.19,18,169
USA,4,2186,1676,0.77,64,13,0.2,15,150
Spain,3,2071,1703,0.82,45,13,0.29,17,93
Colombia,5,2068,1477,0.71,65,19,0.29,20,159
Switzerland,4,2031,1554,0.77,59,14,0.24,19,125
Nigeria,4,1880,1386,0.74,87,14,0.16,24,119
Mexico,4,1860,1393,0.75,60,14,0.23,16,118
Italy,3,1859,1580,0.85,36,6,0.17,9,77
Bosnia and Herzegovina,3,1766,1412,0.8,72,19,0.26,16,77
Algeria,4,1763,1194,0.68,67,13,0.19,14,146
Greece,4,1719,1288,0.75,118,19,0.16,26,101
Uruguay,4,1716,1224,0.71,76,16,0.21,20,143
England,3,1644,1286,0.78,70,15,0.21,22,87
Portugal,3,1641,1297,0.79,68,13,0.19,17,90
Japan,3,1633,1274,0.78,58,13,0.22,19,90
Russia,3,1600,1177,0.74,74,15,0.2,16,100
Korea Republic,3,1544,1152,0.75,54,17,0.31,18,94
Côte d'Ivoire,3,1532,1215,0.79,62,12,0.19,20,91
Ghana,3,1465,1065,0.73,60,21,0.35,14,122
Australia,3,1459,1103,0.76,47,11,0.23,6,101
Croatia,3,1382,1021,0.74,68,19,0.28,17,110
Honduras,3,1375,1046,0.76,44,10,0.23,12,81
Cameroon,3,1208,878,0.73,49,15,0.31,15,90
Ecuador,3,1181,799,0.68,46,7,0.15,18,111
Iran,3,950,604,0.64,60,17,0.28,13,104
